822972043952013313	Weerschoonebeek	| Temp -1.7 oC | Windsnelheid 1.2 km/h uit ESE | 0.0 mm neerslag| wolkenhoogte:87 meter |	| Temp -1.7 oC | Windsnelheid 1.2 km /h uit ESE | 0.0 mm neerslag | wolkenhoogte :87 meter |
822972063363252224	twimmercom	bestfanarmy is nr.8 trending hashtag in NL in afgelopen 2 uur. https://t.co/KbAXFoLG3y #bestfanarmy	bestfanarmy is nr .8 trending hashtag in NL in afgelopen 2 uur . https://t.co/KbAXFoLG3y #bestfanarmy
822972064172621824	MMnieuwscenter	De autofocus van de camera opnieuw kalibreren https://t.co/e5kWkuZLSd #multimedia #nieuws	De autofocus van de camera opnieuw kalibreren https://t.co/e5kWkuZLSd #multimedia #nieuws
822972064936108032	twimmercom	trump is nr.8 trending hashtag in NL in afgelopen 4 uur. https://t.co/bvHDJBnUGd #trump	trump is nr .8 trending hashtag in NL in afgelopen 4 uur . https://t.co/bvHDJBnUGd #trump
822972065397538816	petervosz	@dijkshoorn veel knoppen	@dijkshoorn veel knoppen
822972065678589954	Nnoarr	@nxdxvd @stefan_camli @Asurrrrrrr @GewoonLuis @jozefsamat Tegen u ben ik zelfs niet bezig dus voel u niet aangesproken meid	@nxdxvd @stefan_camli @Asurrrrrrr @GewoonLuis @jozefsamat Tegen u ben ik zelfs niet bezig dus voel u niet aangesproken meid
822972065502339072	xxxdatesnl	Dolopsex2015 (45 jaar) uit Leiden (via Hobbysletten) https://t.co/3Rg0ZghABN	Dolopsex 2015 (45 jaar ) uit Leiden ( via Hobbysletten ) https://t.co/3Rg0ZghABN
822972066009751552	MMnieuwscenter	De persoonlijkheden van beroemdheden gefotografeerd https://t.co/OpONpXtdKB #multimedia #nieuws	De persoonlijkheden van beroemdheden gefotografeerd https://t.co/OpONpXtdKB #multimedia #nieuws
822972066697723904	CleoMatra	RT @ClariceGargard: Mensen die zeiken over #WomensMarch want 'Saoedi en Iran'. Ik kom graag naar jullie protest voor vrouwen- en mensenrech…	RT @ClariceGargard : Mensen die zeiken over #WomensMarch want ' Saoedi en Iran '. Ik kom graag naar jullie protest voor vrouwen - en mensenrech …
822972066399977473	Relevanza	Digitale transformatie gaat niet enkel over marketing of IT https://t.co/WRllTC7FRV via @RenildeDeWit	Digitale transformatie gaat niet enkel over marketing of IT https://t.co/WRllTC7FRV via @RenildeDeWit
822972063526817793	105lb	@mcdelsfashion maar ik zou nooit afvallen voor een guy ze zijn allemaal trash en eigenlijk doe ik het allemaal alleen voor mij	@mcdelsfashion maar ik zou nooit afvallen voor een guy ze zijn allemaal trash en eigenlijk doe ik het allemaal alleen voor mij
822972067435913221	Ugchelen_Weer	Temp: -4.4 gr.C | Wind: WZW, 0.0 Km/h | Luchtdruk: 1027.1 hPa | Neerslag: 0 mm | #ugchelen #weer	Temp : -4.4 gr .C | Wind : WZW , 0.0 Km /h | Luchtdruk : 1027.1 hPa | Neerslag : 0 mm | #ugchelen #weer
822972067435814912	KPNGebruikers	#kpn Het kan zijn dat je browser te oud is en dat je via @KPN dan niet kan inloggen op DIGID, dat heeft te maken… https://t.co/weTkrDXi4l	#kpn Het kan zijn dat je browser te oud is en dat je via @KPN dan niet kan inloggen op DIGID , dat heeft te maken … https://t.co/weTkrDXi4l
822972068035706881	Meteo_Thorn	Tijd 02:00 Temp: -1.7°C Wind: 6.8 km/h ZZO Luchtdruk: 1027.3 hPa Regen: 0.0 mm Windchill: -3.5°C RV: 91﹪10cmTemp: -3.6°C	Tijd 02:00 Temp : -1.7°C Wind : 6.8 km /h ZZO Luchtdruk : 1027.3 hPa Regen : 0.0 mm Windchill : -3.5°C RV : 91﹪10 cmTemp : -3.6°C
822972068639674369	MeteoHeijningen	Heijningen,NL 02:00u Wind:0.0m/s Windkracht:0 Bft Windvlaag:0.0m/s Wind uit:ZZW #MeteoHeijningen	Heijningen , NL 02:00u Wind :0.0m/s Windkracht :0 Bft Windvlaag :0.0m/s Wind uit : ZZW #MeteoHeijningen
822972068237049856	_EroBlogs	Goed geschapen mannen waar zijn jullie Wil goed... https://t.co/CiHwFZmRRs #vreemdgaan https://t.co/x9IN877rU4	Goed geschapen mannen waar zijn jullie Wil goed ... https://t.co/CiHwFZmRRs #vreemdgaan https://t.co/x9IN877rU4
822972056698552320	wslembeke	De temperatuur om 02:00 is -4.8°C Voelt aan als -4.8°C Vochtigheid :92﹪ Wind: ZZO 5.0km/u Regen:0.0mm. Luchtdruk:1027.2 hpa UV:0.0	De temperatuur om 02:00 is -4.8°C Voelt aan als -4.8°C Vochtigheid :92﹪ Wind : ZZO 5.0 km /u Regen :0.0 mm . Luchtdruk :1027.2 hpa UV :0.0
822972071194066950	Lepton1024	@Jurjenvdb waarom zo snel praten,het maakt de vragen die je stelt niet beter. Denk n's rustig na en stel dan de vraag.#ifimaysayso @BNNVARA	@Jurjenvdb waarom zo snel praten , het maakt de vragen die je stelt niet beter . Denk n's rustig na en stel dan de vraag . #ifimaysayso @BNNVARA
822972073018617857	hoelaatishet	Het is nu 2.00 uur.	Het is nu 2.00 uur .
822972073853255680	Weer_Rotterdam	Temp=-5.7|Regen.dag=0.0mm|Wind=0.0m/s|Max.wind=0.0m/s|Richting=E|Rel.vochtigheid=92.0%|Regen.uur=0.0mm|Zon.straling=0.0W/m2	Temp =-5.7| Regen . dag =0.0 mm | Wind =0.0m/s| Max . wind =0.0m/s| Richting =E| Rel . vochtigheid =92.0%| Regen . uur =0.0 mm | Zon . straling =0.0W/m2
822972073962250241	RaniVerhelst	RT @MorganVerpoucke: Mijn concentratie is ergens ver weg aant vliegen samen met die van Rani denk ik	RT @MorganVerpoucke : Mijn concentratie is ergens ver weg aant vliegen samen met die van Rani denk ik
822972074042003456	TanjaMeijer42	RT @OlafStuger: Met de leiders van een 'nieuw Europa' #Koblenz https://t.co/Ynjrg1AcVW	RT @OlafStuger : Met de leiders van een ' nieuw Europa ' #Koblenz https://t.co/Ynjrg1AcVW
822972076570968064	LenkaVan	RT @Vinniie__: Jammer hoe dingen gelopen zijn	RT @Vinniie__ : Jammer hoe dingen gelopen zijn
822972076835401732	Plientje1979	@MarikeO ik vond het juist een mooie afsluiting! Er waren al voldoende swingende nummers geweest!	@MarikeO ik vond het juist een mooie afsluiting ! Er waren al voldoende swingende nummers geweest !
822972077049319425	MeteoOudkarspel	Weerdata van: 02:00 | Temp: -1.9°C | Wind: 0.0 m/s - ZO | Luchtdruk: 1027.3 hPa | Regen: 0.0 mm | RV: 93﹪ via WH-WUS03-Pro MB 3.2 #Weer	Weerdata van : 02:00 | Temp : -1.9°C | Wind : 0.0 m/s - ZO | Luchtdruk : 1027.3 hPa | Regen : 0.0 mm | RV : 93﹪ via WH-WUS 03- Pro MB 3.2 #Weer
822972078215270405	booikluiving	Ik wou dat ik wat ik wou zonder te willen kon willen dat ik wou willen.	Ik wou dat ik wat ik wou zonder te willen kon willen dat ik wou willen .
822972079070912513	ranidebruyne	RT @bernard_maika: Zoveel pijn, en niemand die het ziet	RT @bernard_maika : Zoveel pijn , en niemand die het ziet
822972080140460038	MeteoLemmer	#Lemmer 22-01-2017 om 02:00: Temp -2.2°C RV 92.0 Luchtdruk 1028.1 hPa Neerslag dag 0.0 mm maand 45.6 mm https://t.co/kvV9VFQr1F	#Lemmer 22-01-2017 om 02:00: Temp -2.2°C RV 92.0 Luchtdruk 1028.1 hPa Neerslag dag 0.0 mm maand 45.6 mm https://t.co/kvV9VFQr1F
822972080027213824	nl_twop_1000	@Mlvanderzee Gefeliciteerd, het is nu precies 7 jaar geleden dat je met Twitter bent begonnen. https://t.co/xt6EYxaHlj	@Mlvanderzee Gefeliciteerd , het is nu precies 7 jaar geleden dat je met Twitter bent begonnen . https://t.co/xt6EYxaHlj
822972081612668928	_SexKontakte	Spontane vrolijke gezellige vrouw die in is voor een leuk spannend gesprekje! https://t.co/kjpSm5HHqq #webcamsex https://t.co/3m5ACq8GdG	Spontane vrolijke gezellige vrouw die in is voor een leuk spannend gesprekje ! https://t.co/kjpSm5HHqq #webcamsex https://t.co/3m5ACq8GdG
822972083219103744	HMastourr	@ViktorFlscher die 25k packs zijn de slechstr kanker packs in dit slel	@ViktorFlscher die 25k packs zijn de slechstr kanker packs in dit slel
822972083806359553	overijssel24	New post: Vier jongens uit ijskoude Dedemsvaart gered https://t.co/tUND94DPEc #overijssel	New post : Vier jongens uit ijskoude Dedemsvaart gered https://t.co/tUND94DPEc #overijssel
822972086494920705	CaliberMarie	Ik zie alleen maar rode ogen	Ik zie alleen maar rode ogen
822972087409197056	nikitadk_xo	Het feit da de #WomensMarch zo globaal is gegaan maakt mij zo blij. Toont nog eens aan dat de mensheid wél solidair kan zijn #lovetrumpshate	Het feit da de #WomensMarch zo globaal is gegaan maakt mij zo blij . Toont nog eens aan dat de mensheid wél solidair kan zijn #lovetrumpshate
822972087291744256	RadioBontekoe	Nu te horen Guns N' Roses - Paradise City op https://t.co/c0DHSQkwZn	Nu te horen Guns N' Roses - Paradise City op https://t.co/c0DHSQkwZn
822972087723847684	pizzagoalz	Ik heb weer de slappe lach om Ali b	Ik heb weer de slappe lach om Ali b
822972087736397827	Eduard_Mangal	RT @Moyamal: Lilian Marijnissen over Trump: 'Je kunt het met hem eens zijn of niet maar hij praat in begrijpelijke taal.' Echt, ligt de l…	RT @Moyamal : Lilian Marijnissen over Trump : ' Je kunt het met hem eens zijn of niet maar hij praat in begrijpelijke taal .' Echt , ligt de l…
822972087895736320	BrittVerdickt	RT @mathidegroof: De eerste stap naar gelukkig zijn is u van niks of niemand iets aantrekken	RT @mathidegroof : De eerste stap naar gelukkig zijn is u van niks of niemand iets aantrekken
822972088608837632	skyviolence	@dzjanan Ja dat is bedoelt als nummer 2!!	@dzjanan Ja dat is bedoelt als nummer 2!!
822972088730394624	WeerStationOss	02:00. Regen vandaag 0,0mm. gisteren 0,0mm. laatste uur 0,0mm. nu 0,0mm/uur. Laatste 2016-12-21 23:58. Jaar 0,0mm #regen #weer #oss	02:00. Regen vandaag 0,0 mm . gisteren 0,0 mm . laatste uur 0,0 mm . nu 0,0 mm / uur . Laatste 2016-12-21 23:58. Jaar 0,0 mm #regen #weer #oss
822972091368607744	radio638	Nu te horen #Snollebollekes - #SpringenNondeju op Radio 638 https://t.co/IyBbzOiZt2	Nu te horen #Snollebollekes - #SpringenNondeju op Radio 638 https://t.co/IyBbzOiZt2
822972092354273280	BMarijs	RT @fleur_toch: Deze avond mocht zoveel langer duren	RT @fleur_toch : Deze avond mocht zoveel langer duren
822972093172248578	zegmaarLyd	@Gewoon_Sher hahaha...Ze hebben het idd wel eens gevraagd😰😎😂😂😂😂	@Gewoon_Sher hahaha ... Ze hebben het idd wel eens gevraagd 😰😎😂😂😂😂
822972094279516160	smartie686363	RT @wimdaniels: Dit is een illustratie van de uitdrukking 'daar lusten de honden geen brood van': https://t.co/reQzxnUBKo	RT @wimdaniels : Dit is een illustratie van de uitdrukking ' daar lusten de honden geen brood van ': https://t.co/reQzxnUBKo
822972095860707328	HBOWO_vacatures	#vacature #werk #JouwBaan Vacature systeembeheerder in Amsterdam https://t.co/JTnWtEX8JG	#vacature #werk #JouwBaan Vacature systeembeheerder in Amsterdam https://t.co/JTnWtEX8JG
822972095848153090	yonnameeuwsen	wie nog wakker ? 🤔	wie nog wakker ? 🤔
822972096926089216	vgeldonline	patsym2b1 van uit https://t.co/DakzZ5NMpy volgt mij nu op #Twitter!	patsym 2b1 van uit https://t.co/DakzZ5NMpy volgt mij nu op #Twitter !
822972099543334914	nabruJ_elyK	@williamcooper23 oh right in the vagina, Ik brother ik	@williamcooper23 oh right in the vagina , Ik brother ik
822972101380468736	Tijdsignaal	Het is nu 2 uur 's nachts in Nederland. #tijdsignaal	Het is nu 2 uur 's nachts in Nederland . #tijdsignaal
822972103079194625	Leudalweer	Weerdata van 02:00 Temp: -3.8°C Vochtigheid: 87﹪ Wind: ZO 0.0km/u Regen: 0.0mm Luchtdruk: 1027.6hpa UV: 0.0 Zon: 0.0W/m²	Weerdata van 02:00 Temp : -3.8°C Vochtigheid : 87﹪ Wind : ZO 0.0 km /u Regen : 0.0 mm Luchtdruk : 1027.6 hpa UV : 0.0 Zon : 0.0W/m²
822972107072094208	NieuwsnlJ	Van Bronckhorst: 'Zo lekkerder kijken naar de concurrentie'. Feyenoord heeft za...https://t.co/fxKSXcfzRx	Van Bronckhorst : ' Zo lekkerder kijken naar de concurrentie '. Feyenoord heeft za ... https://t.co/fxKSXcfzRx
822972108309430272	verwarigheid	Dag xoxo Doha	Dag xoxo Doha
822972109735477249	detoyboys	Nieuw toegevoegd aan onze winkel! Pitt 4 - 4,95 € https://t.co/nXESz1R4kv	Nieuw toegevoegd aan onze winkel ! Pitt 4 - 4,95 € https://t.co/nXESz1R4kv
822972111455186946	IngPeeters	RT @12c34c: Toen de vrouwen in Keulen massaal werden aangerand vonden al die feministen het blijkbaar niet nodig om op straat te komen...	RT @12c34c : Toen de vrouwen in Keulen massaal werden aangerand vonden al die feministen het blijkbaar niet nodig om op straat te komen ...
822972113078390785	JorienGi	RT @dw_ines: Hoe graag da ik ooit eens zou willen "overnachten" op een strand met een hele groep vrienden 😛 zonsondergang kijken, praten, m…	RT @dw_ines : Hoe graag da ik ooit eens zou willen " overnachten " op een strand met een hele groep vrienden 😛 zonsondergang kijken , praten , m…
822972113560760321	stijnvdenbloock	@CrunkedPanda Ma het boeit echt nie haha, gefeliciteerd me uw mention in ieder geval :p	@CrunkedPanda Ma het boeit echt nie haha , gefeliciteerd me uw mention in ieder geval :p
822972114340904960	barracudawiep	@BLIKOPENER333 @alex_amsberg Raar pseudoniem en bekakt.😆 Of toch Familie van Claus.	@BLIKOPENER333 @alex_amsberg Raar pseudoniem en bekakt .😆 Of toch Familie van Claus .
822972115007717377	Veymous	@Cetfy Wie is die animal bovenaan?	@Cetfy Wie is die animal bovenaan ?
822972114953261056	sainclaeys	RT @samaerden: Das een fokking grave broek https://t.co/35m3CAZegs	RT @samaerden : Das een fokking grave broek https://t.co/35m3CAZegs
822972115934658562	carokuiper	Het eerste snerteven van @ThrillZone1 met @Pjotrschrijft @mustreadsornot @LetterRijn https://t.co/17xkaYVBS7	Het eerste snerteven van @ThrillZone1 met @Pjotrschrijft @mustreadsornot @LetterRijn https://t.co/17xkaYVBS7
822972117826367488	NachtKonigin	RT @hbroekhuisen: Om zoveel mogelijk organen te kunnen oogsten van jonge mensen kan de helmplicht op brommers en motoren het best wor…	RT @hbroekhuisen : Om zoveel mogelijk organen te kunnen oogsten van jonge mensen kan de helmplicht op brommers en motoren het best wor …
822972118958804992	Narutarded_	@ODBWTCQ mijn ogen zijn opgezwollen :(	@ODBWTCQ mijn ogen zijn opgezwollen :(
822972120179347457	WeerNijbroek	Weerrapport van 02:00: Temp.(°C): -4→ Rel. vochtigheid (%): 93→ Luchtdruk (Hpa): 1.027,0→ Wind (km/h): 0→ uit het ENE. Regen (mm): 0,0	Weerrapport van 02:00: Temp .(°C): -4→ Rel . vochtigheid (%): 93→ Luchtdruk ( Hpa ): 1.027,0→ Wind ( km /h): 0→ uit het ENE . Regen ( mm ): 0,0
822972121777340416	juslannoy	RT @Mathiaaass: Ken ik massage nodig wi zeg me rug doe zeer	RT @Mathiaaass : Ken ik massage nodig wi zeg me rug doe zeer
822972121701814272	Percival_FTW	@Royal_Puck Echt een toffe stream! Was lachen bij Outlast xD	@Royal_Puck Echt een toffe stream ! Was lachen bij Outlast xD
822972122389774337	POFerriesNL	Volg deze link voor live een weerbericht; https://t.co/9lqGE0rHQM	Volg deze link voor live een weerbericht ; https://t.co/9lqGE0rHQM
822972123123695617	0_Cypher	Weer wat nieuws te lezen @avoblog! | Draagbare ONE OK ROCK jas laat drager luisteren naar muziek https://t.co/gZp7CKsIT3 #blog	Weer wat nieuws te lezen @avoblog ! | Draagbare ONE OK ROCK jas laat drager luisteren naar muziek https://t.co/gZp7CKsIT3 #blog
822972123207634944	BramDeWater	@Evatje019 @BenderdtMT met hoeveel man waren jullie? XD is niks vergeleken wat wij kunnen 😜	@Evatje019 @BenderdtMT met hoeveel man waren jullie ? XD is niks vergeleken wat wij kunnen 😜
822972123736133638	youtubeselectie	Volg ook @youtubeselectie voor leuke en boeiende YouTube filmpjes! Wij volgen terug.	Volg ook @youtubeselectie voor leuke en boeiende YouTube filmpjes ! Wij volgen terug .
822972125153792000	IkBenEenMatroos	hoi ik ben een matroos January 22, 2017 at 02:00AM	hoi ik ben een matroos January 22, 2017 at 02:00 AM
822972125497720833	MeteoSuawoude	Actueel weer om 02:00:01 Temp: -2,3°C | Wind: F1 | Luchtdruk: 1025,0hpa | Regen: 0,0mm | Luchtvochtigheid: 93% #meteo	Actueel weer om 02:00:01 Temp : -2,3°C | Wind : F1 | Luchtdruk : 1025,0 hpa | Regen : 0,0 mm | Luchtvochtigheid : 93% #meteo
822972126466547712	MeterkastAlmere	Tijd: 02:00:05 Afgenomen: 0.358 Opgewekt: 0 Geleverd: 0 Verbruik: 0.36	Tijd : 02:00:05 Afgenomen : 0.358 Opgewekt : 0 Geleverd : 0 Verbruik : 0.36
822972131818557440	stefan_camli	@Nnoarr @Asurrrrrrr @GewoonLuis @nxdxvd Wat voor een kut argument is dat?Dus omdat Belgen Nederlands spreken zijn alle Belgen NL?	@Nnoarr @Asurrrrrrr @GewoonLuis @nxdxvd Wat voor een kut argument is dat ? Dus omdat Belgen Nederlands spreken zijn alle Belgen NL ?
822972130883145731	1001ptsNL	Witte Huis opent op dag 2 de aanval op de media: 'schandalig' (parool.nl) https://t.co/6hwBMO5Gid https://t.co/IvePsNnvcb	Witte Huis opent op dag 2 de aanval op de media : ' schandalig ' ( parool . nl ) https://t.co/6hwBMO5Gid https://t.co/IvePsNnvcb
822972132976115712	Rkra82	Wat is het weer koud. Verlang naar de lente :-)	Wat is het weer koud . Verlang naar de lente :-)
822972132770582528	Ikdrinkgeenthee	@vrij_nederland Dus als je in #nederland in de ogen v/e Universiteit de verkeerde politieke voorkeur hebt, kun je dus bijna niet promoveren?	@vrij_nederland Dus als je in #nederland in de ogen v/e Universiteit de verkeerde politieke voorkeur hebt , kun je dus bijna niet promoveren ?
