822609656052850689	wouterveldhoen	RT @dreoudman: Zweedse overheid: Lap je oude spullen op - Groen - TROUW https://t.co/2AldPAHEk0	RT @dreoudman : Zweedse overheid : Lap je oude spullen op - Groen - TROUW https://t.co/2AldPAHEk0
822609666706472960	nustoring	Nieuwe #spoorwerkzaamheden Zwolle-Amersfoort, lees meer op https://t.co/w75MJ88eca #spoor #ns	Nieuwe #spoorwerkzaamheden Zwolle-Amersfoort , lees meer op https://t.co/w75MJ88eca #spoor #ns
822609667792760834	NLTijd	Het is 02:00	Het is 02:00
822609667557904385	SexInJouBuurtNL	Ik ben een superhete meid die wel van stoute dingen houdt ik hou ervan als ik m https://t.co/PX5JVCriMW #webcamsex https://t.co/qCaKCdP5Sv	Ik ben een superhete meid die wel van stoute dingen houdt ik hou ervan als ik m https://t.co/PX5JVCriMW #webcamsex https://t.co/qCaKCdP5Sv
822609668375715840	sexpunt_nl	Het rode slipje gaat opzij https://t.co/btfEVBKIBp https://t.co/is8JfQOmNv	Het rode slipje gaat opzij https://t.co/btfEVBKIBp https://t.co/is8JfQOmNv
822609667683651587	xxxdatesnl	Hazel1984 (32 jaar) (via Flirtplek) https://t.co/4hPysYM0sn	Hazel 1984 (32 jaar ) ( via Flirtplek ) https://t.co/4hPysYM0sn
822609668673601536	Asex_nl	Na haar te hebben gebeft neukt de jongen haar tiener kutje rauw https://t.co/prvltWUL5W https://t.co/fr8FQ1jcoS	Na haar te hebben gebeft neukt de jongen haar tiener kutje rauw https://t.co/prvltWUL5W https://t.co/fr8FQ1jcoS
822609668484829186	Kanaalxxx	Sletterig blondje verwent haar kutje met mini vibo https://t.co/mMuqxnMKww https://t.co/8rJtanCZWt	Sletterig blondje verwent haar kutje met mini vibo https://t.co/mMuqxnMKww https://t.co/8rJtanCZWt
822609669000720384	gayfilms_nl	Voor de webcam duwt de knul de grote dildo diep zijn anus in https://t.co/usdIUudrDp https://t.co/UOhFEwZZpi	Voor de webcam duwt de knul de grote dildo diep zijn anus in https://t.co/usdIUudrDp https://t.co/UOhFEwZZpi
822609669931864064	dewestertoren	BONG BONG kop op mensen, het is 2 uur...	BONG BONG kop op mensen , het is 2 uur ...
822609670925877248	ZKWeerTweets	#Zoutkamp | #weer van: 02:00 Temp: 1.5C / Gevoel: 1.5C Vocht: 99% Neerslag: 0.0mm Wind: S / 1.0km/h Baro: 1034hPa UV: 0	#Zoutkamp | #weer van : 02:00 Temp : 1.5C / Gevoel : 1.5C Vocht : 99% Neerslag : 0.0 mm Wind : S / 1.0 km /h Baro : 1034 hPa UV : 0
822609670720421890	Meteo_Thorn	Tijd 02:00 Temp: 1.5°C Wind: 5.0 km/h ONO Luchtdruk: 1033.2 hPa Regen: 0.0 mm Windchill: 0.1°C RV: 90﹪10cmTemp: 0.8°C	Tijd 02:00 Temp : 1.5°C Wind : 5.0 km /h ONO Luchtdruk : 1033.2 hPa Regen : 0.0 mm Windchill : 0.1°C RV : 90﹪10 cmTemp : 0.8°C
822609671051677698	WeermanDirk	Weer op 21-01, 02 uur: Temp 1.8ºC|RV 96 pct|Luchtdr 1032.8 hPa|Wind 187º 0.0 msec|Tmax 1.8ºC|Tmin 1.6ºC|Dagneerslag 0.0 mm	Weer op 21-01, 02 uur : Temp 1.8 ºC | RV 96 pct | Luchtdr 1032.8 hPa | Wind 187º 0.0 msec | Tmax 1.8 ºC | Tmin 1.6 ºC | Dagneerslag 0.0 mm
822609671609585665	TyksaBorisT	Shoutout naar je strijderin @VeerleDDG 😊❤	Shoutout naar je strijderin @VeerleDDG 😊❤
822609671748022274	martin_tyskie	.@NOS De inauguratiereden. Leek wel of de VS een soort hel op aarde zijn. Hel en verdoemenis van een dominee. Schandalig en zorgwekkend.	. @NOS De inauguratiereden . Leek wel of de VS een soort hel op aarde zijn . Hel en verdoemenis van een dominee . Schandalig en zorgwekkend .
822609672276480006	KroevenWeer	Temperatuur: -1.2°C (-0.2°C) Luchtdruk: 1031.6 mb (-0.4 mb) (02:00 uur)	Temperatuur : -1.2°C (-0.2°C) Luchtdruk : 1031.6 mb (-0.4 mb ) (02:00 uur )
822609672591069227	wsmenaldum	Actueel weer in Menaldum: Wind 1,6 km/h SSW. Luchtdruk 1034,68 hPa. Temp. 1,9°C. Neerslag vandaag 0,0 mm. Luchtvochtigheid 95%. UV 0,0	Actueel weer in Menaldum : Wind 1,6 km /h SSW . Luchtdruk 1034,68 hPa . Temp . 1,9°C. Neerslag vandaag 0,0 mm . Luchtvochtigheid 95%. UV 0,0
822609672788180992	twimmercom	stopdehaat is nr.4 trending hashtag in NL in afgelopen 2 uur. https://t.co/BPPY6egBkX #stopdehaat	stopdehaat is nr .4 trending hashtag in NL in afgelopen 2 uur . https://t.co/BPPY6egBkX #stopdehaat
822609672872009728	MeteoParkstad	02:00 Temp -2°c Gevoel -4°c Luchtv. 81﹪ Wind O 1Bft 4.7 tot 9.7 km/h Neerslag 0.0 mm Baro 1031.5 hPa UV 0.0 #Parkstad #weer	02:00 Temp -2°c Gevoel -4°c Luchtv . 81﹪ Wind O 1 Bft 4.7 tot 9.7 km /h Neerslag 0.0 mm Baro 1031.5 hPa UV 0.0 #Parkstad #weer
822609672670769153	adultfantasie	Dit ##glijmiddel op siliconen basis blijft heel lang glad en draagt da https://t.co/b8rYcWimah https://t.co/PmA6de4esb	Dit # #glijmiddel op siliconen basis blijft heel lang glad en draagt da https://t.co/b8rYcWimah https://t.co/PmA6de4esb
822609672733597697	heteflirt	#sexdating Toen ik pas tegen een vriendinnetje zei dat ik nooit nooit echt geneuk https://t.co/dXdgYbOM0f… https://t.co/XD1bBF5rd7	#sexdating Toen ik pas tegen een vriendinnetje zei dat ik nooit nooit echt geneuk https://t.co/dXdgYbOM0f … https://t.co/XD1bBF5rd7
822609674558115840	twimmercom	tvoh is nr.4 trending hashtag in NL in afgelopen 4 uur. https://t.co/JSyBhUJ2xv #tvoh	tvoh is nr .4 trending hashtag in NL in afgelopen 4 uur . https://t.co/JSyBhUJ2xv #tvoh
822609674902048768	Ugchelen_Weer	Temp: -3.4 gr.C | Wind: ZZO, 0.0 Km/h | Luchtdruk: 1032.8 hPa | Neerslag: 0 mm | #ugchelen #weer	Temp : -3.4 gr .C | Wind : ZZO , 0.0 Km /h | Luchtdruk : 1032.8 hPa | Neerslag : 0 mm | #ugchelen #weer
822609674063269889	relatie_nl	#dating Je hebt misschien ook wel een ongewone hobby dat kunnen we dan misschi https://t.co/W1KzIhiNje #relatie https://t.co/RVPUORAu5w	#dating Je hebt misschien ook wel een ongewone hobby dat kunnen we dan misschi https://t.co/W1KzIhiNje #relatie https://t.co/RVPUORAu5w
822609674595946496	ero_contact	lekker geil om gepakt te worden van alle kanten door jouw alleen https://t.co/Nd7LMHaIle #webcamsex https://t.co/HcdeYSET05	lekker geil om gepakt te worden van alle kanten door jouw alleen https://t.co/Nd7LMHaIle #webcamsex https://t.co/HcdeYSET05
822609675904569345	hannahbraeckman	RT @LieseVM: 6 februari is De Mol terug, yessss	RT @LieseVM : 6 februari is De Mol terug , yessss
822609675803828224	HobbyWorker	Wil u een eLiquid aanbieding 4 flesjes €10,- of 8 flesjes voor €18,- kopen? Lees https://t.co/uGIAxYEZnT via @yotpo	Wil u een eLiquid aanbieding 4 flesjes €10,- of 8 flesjes voor €18,- kopen ? Lees https://t.co/uGIAxYEZnT via @yotpo
822609669063577602	Weer_Rotterdam	Temp=0.1|Regen.dag=0.0mm|Wind=0.9m/s|Max.wind=2.7m/s|Richting=NE|Rel.vochtigheid=91.0%|Regen.uur=0.0mm|Zon.straling=0.0W/m2	Temp =0.1| Regen . dag =0.0 mm | Wind =0.9m/s| Max . wind =2.7m/s| Richting = NE | Rel . vochtigheid =91.0%| Regen . uur =0.0 mm | Zon . straling =0.0W/m2
822609670288396288	wslembeke	De temperatuur om 02:00 is -1.5°C Voelt aan als -2.3°C Vochtigheid :85﹪ Wind: NNO 6.8km/u Regen:0.0mm. Luchtdruk:1031.0 hpa UV:0.0	De temperatuur om 02:00 is -1.5°C Voelt aan als -2.3°C Vochtigheid :85﹪ Wind : NNO 6.8 km /u Regen :0.0 mm . Luchtdruk :1031.0 hpa UV :0.0
822609677309579265	MeteoLemmer	#Lemmer 21-01-2017 om 02:00: Temp 2.0°C RV 89.0 Luchtdruk 1033.7 hPa Neerslag dag 0.0 mm maand 45.6 mm https://t.co/kvV9VFQr1F	#Lemmer 21-01-2017 om 02:00: Temp 2.0°C RV 89.0 Luchtdruk 1033.7 hPa Neerslag dag 0.0 mm maand 45.6 mm https://t.co/kvV9VFQr1F
822609678395998210	PrimalLugia	Ik vind een @YouTube-video van @thepokecapital leuk: https://t.co/5MCTRLi3Dk Pokemon Cards 20th Anniversary CP6 Booster Box Opening	Ik vind een @YouTube - video van @thepokecapital leuk : https://t.co/5MCTRLi3Dk Pokemon Cards 20 th Anniversary CP 6 Booster Box Opening
822609679662587905	MeteoHeijningen	Heijningen,NL 02:00u Wind:1.9m/s Windkracht:2 Bft Windvlaag:3.2m/s Wind uit:OZO #MeteoHeijningen	Heijningen , NL 02:00u Wind :1.9m/s Windkracht :2 Bft Windvlaag :3.2m/s Wind uit : OZO #MeteoHeijningen
822609681420062724	hoelaatishet	Het is nu 2.00 uur.	Het is nu 2.00 uur .
822609682120458241	m_obdam	#ASUS gaat concurrentie aan met Raspberry Pi: Vandaag heeft ASUS een nieuwe single-board computer… https://t.co/HlxKjfmRid #nieuws	#ASUS gaat concurrentie aan met Raspberry Pi : Vandaag heeft ASUS een nieuwe single-board computer … https://t.co/HlxKjfmRid #nieuws
822609682778980355	HforHyper	RT @anthoniarochus: Kzou zo graag is wakker worden met ontbijt op bed	RT @anthoniarochus : Kzou zo graag is wakker worden met ontbijt op bed
822609683630485514	MeteoOudkarspel	Weerdata van: 02:00 | Temp: 1.4°C | Wind: 0.0 m/s - OZO | Luchtdruk: 1033.2 hPa | Regen: 0.0 mm | RV: 92﹪ via WH-WUS03-Pro MB 3.2 #Weer	Weerdata van : 02:00 | Temp : 1.4°C | Wind : 0.0 m/s - OZO | Luchtdruk : 1033.2 hPa | Regen : 0.0 mm | RV : 92﹪ via WH-WUS 03- Pro MB 3.2 #Weer
822609688185491457	KooppleinDalfs1	SPAARPOTTEN meisje, aardewerk, 11x10x18,5cm https://t.co/ex6OIpulsR Klik en Kijk	SPAARPOTTEN meisje , aardewerk , 11x10x18,5 cm https://t.co/ex6OIpulsR Klik en Kijk
822609687409553408	_SexKontakte	Zin in een hete of gezellige chat? Dan ben je bij mij aan 't goede adres Ik bren https://t.co/SynqgGk1Gf #webcamsex https://t.co/Oce4bb990G	Zin in een hete of gezellige chat ? Dan ben je bij mij aan 't goede adres Ik bren https://t.co/SynqgGk1Gf #webcamsex https://t.co/Oce4bb990G
822609691033432065	Arnoldpsmarine	Ik vind een @YouTube-video van @advtradrift leuk: https://t.co/5cZjW6KeAc [40] Winter Adventures: Sailing the Benitos Archipelago	Ik vind een @YouTube - video van @advtradrift leuk : https://t.co/5cZjW6KeAc [40] Winter Adventures : Sailing the Benitos Archipelago
822609691838676995	_EroBlogs	Waar zijn nou de leuke boys gebleven Mijn... https://t.co/b3dmErzYxY #hete meid https://t.co/bBm0prAYox	Waar zijn nou de leuke boys gebleven Mijn ... https://t.co/b3dmErzYxY #hete meid https://t.co/bBm0prAYox
822609695877844992	_ttfca	RT @Feyenoord: 🇲🇦 Karim El Ahmadi heeft met Marokko de tweede poulewedstrijd in Groep C van de Afrika Cup gewonnen. Togo werd vana…	RT @Feyenoord : 🇲🇦 Karim El Ahmadi heeft met Marokko de tweede poulewedstrijd in Groep C van de Afrika Cup gewonnen . Togo werd vana …
822609696762773507	WeerNoorden	Actueel weer:Tijd:02:00, /droog, Temp: -0.6°C, Luchtvocht: 93%, Wind: 5.6 km/h, Windrichting: ONO, Neerslag: 0.0 mm	Actueel weer : Tijd :02:00, / droog , Temp : -0.6°C, Luchtvocht : 93%, Wind : 5.6 km /h, Windrichting : ONO , Neerslag : 0.0 mm
822609696993542144	NLzoektwerk	Tijd voor iets nieuws? #vacature #JouwBaan Sales & Customer Service Representative https://t.co/W5Fu2r0vl1	Tijd voor iets nieuws ? #vacature #JouwBaan Sales & Customer Service Representative https://t.co/W5Fu2r0vl1
822609697811349505	WeerStationOss	02:00 Temp 0.0C min -1,4 max 0,0 chill -1,5. Wind zwak 1 E max 9,7km/h. Regen 0,0mm. Vocht 89%. 1034,04hPa -. #weer #oss	02:00 Temp 0.0C min -1,4 max 0,0 chill -1,5. Wind zwak 1 E max 9,7 km /h. Regen 0,0 mm . Vocht 89%. 1034,04 hPa -. #weer #oss
822609697874255872	WeerStationOss	02:00. Regen vandaag 0,0mm. gisteren 0,0mm. laatste uur 0,0mm. nu 0,0mm/uur. Laatste 2016-12-21 23:58. Jaar 0,0mm #regen #weer #oss	02:00. Regen vandaag 0,0 mm . gisteren 0,0 mm . laatste uur 0,0 mm . nu 0,0 mm / uur . Laatste 2016-12-21 23:58. Jaar 0,0 mm #regen #weer #oss
822609698474065921	WeerHardinxveld	02:00 uur Temp: act -1.1/-1.4°C/-1.1°C, Wind: 0.9 m/s NO, Windstoot: 1.8/3.6 m/s, Neerslag: 0.0 mm, Zon: 0/0 W/m²	02:00 uur Temp : act -1.1/-1.4°C/-1.1°C, Wind : 0.9 m/s NO , Windstoot : 1.8/3.6 m/s, Neerslag : 0.0 mm , Zon : 0/0 W/m²
822609700365672452	KooppleinOmmen	SPAARPOTTEN meisje, aardewerk, 11x10x18,5cm https://t.co/RIBsScDU1A Klik en Kijk	SPAARPOTTEN meisje , aardewerk , 11x10x18,5 cm https://t.co/RIBsScDU1A Klik en Kijk
822609699329740800	_EroBlogs	ajb dit ben ik Jep jaar volledig herkenbaar... https://t.co/QNySeyk67e #seks dating https://t.co/QcMQEqMian	ajb dit ben ik Jep jaar volledig herkenbaar ... https://t.co/QNySeyk67e #seks dating https://t.co/QcMQEqMian
822609702165082116	KoekoekKlok	Koekoek! Het is: January 21, 2017 at 02:00AM	Koekoek ! Het is : January 21, 2017 at 02:00 AM
822609704887209985	Tijdsignaal	Het is nu 2 uur 's nachts in Nederland. #tijdsignaal	Het is nu 2 uur 's nachts in Nederland . #tijdsignaal
822609705709277185	radio638	Nu te horen #ModernDanceRemix2015 - # op Radio 638 https://t.co/IyBbzOiZt2	Nu te horen #ModernDanceRemix2015 - # op Radio 638 https://t.co/IyBbzOiZt2
822609711891697667	SvensTweet	@devrijepsych @Dieproodlove .. Strenger dan bij Obama? Lol. En ten tweede; er waren dus meer mensen dan de media deed voorkomen.	@devrijepsych @Dieproodlove .. Strenger dan bij Obama ? Lol . En ten tweede ; er waren dus meer mensen dan de media deed voorkomen .
822609711719661569	IkBenEenMatroos	hoi ik ben een matroos January 21, 2017 at 02:00AM	hoi ik ben een matroos January 21, 2017 at 02:00 AM
822609719080714240	Rdraaitdoor	Nu voor u.. Richard Hollands - Dit is het Leven ..hier bij https://t.co/IVO9UjPAmq	Nu voor u.. Richard Hollands - Dit is het Leven .. hier bij https://t.co/IVO9UjPAmq
822609723606388738	PerSlotVan	@RAetREchte1 @bramdewaal @Talk2Myra @MPeters50 @NicovandenHam we weten natuurlijk niet de waarheid alleen wat we horen van Astrid.	@RAetREchte1 @bramdewaal @Talk2Myra @MPeters50 @NicovandenHam we weten natuurlijk niet de waarheid alleen wat we horen van Astrid .
822609726248747014	POFerriesNL	Volg deze link voor live een weerbericht; https://t.co/FhNUHxNlGW	Volg deze link voor live een weerbericht ; https://t.co/FhNUHxNlGW
822609730531115010	wisewithwaste	RT @joinfutureproof: We gebruiken nog steeds meer en meer papier, @wisewithwaste brengt daar verandering in https://t.co/1rjERKzbTk #natuur…	RT @joinfutureproof : We gebruiken nog steeds meer en meer papier , @wisewithwaste brengt daar verandering in https://t.co/1rjERKzbTk #natuur …
822609731428712450	i_stable	RT @patricksavalle: Go figure. Eindelijk een president die belooft geen landen meer te bombarderen, zijn al die links-gekkies en Obama-grou…	RT @patricksavalle : Go figure . Eindelijk een president die belooft geen landen meer te bombarderen , zijn al die links-gekkies en Obama-grou …
822609732787666944	MeteoSuawoude	Actueel weer om 02:00:01 Temp: 2,0°C | Wind: F0 | Luchtdruk: 1033,0hpa | Regen: 0,0mm | Luchtvochtigheid: 91% #meteo	Actueel weer om 02:00:01 Temp : 2,0°C | Wind : F0 | Luchtdruk : 1033,0 hpa | Regen : 0,0 mm | Luchtvochtigheid : 91% #meteo
822609717029699585	britt_dobbelaar	RT @flowindey: 8 jaar, geen schandalen, geen buitenechtelijke affaires, wel klasse, humor en een relatie om jaloers op te zijn. Da…	RT @flowindey : 8 jaar , geen schandalen , geen buitenechtelijke affaires , wel klasse , humor en een relatie om jaloers op te zijn . Da …
822609734586994689	lottehoeben	RT @Bokado: Donald Trump mag best iets meer lachen #InaugurationDay	RT @Bokado : Donald Trump mag best iets meer lachen #InaugurationDay
822609734272512001	desprekendeklok	Bij de derde toon is het 2 uur 0 minuten en 0 seconden. Biep, biep, biep.	Bij de derde toon is het 2 uur 0 minuten en 0 seconden . Biep , biep , biep .
822609734473805828	cornelissenauto	Dag 5/6 van de Arctic Challenge waren bedoeld om de computer te resetten en de accu op te laden van ons lijf en... https://t.co/BcVdbKcj05	Dag 5/6 van de Arctic Challenge waren bedoeld om de computer te resetten en de accu op te laden van ons lijf en ... https://t.co/BcVdbKcj05
822609735350423554	elzosmid	wanneer wel en niet te werken. Het gaat er bij mij gewoon niet in. Als jij geen kip wilt eten, dan eet je geen kip, maar verbiedt het 2/3	wanneer wel en niet te werken . Het gaat er bij mij gewoon niet in . Als jij geen kip wilt eten , dan eet je geen kip , maar verbiedt het 2/3
822609737145524226	MaxDiamYara	Hmm het is al 02:00 ik ga nog maar eens een keer met mezelf in debat of ik ga slapen of niet	Hmm het is al 02:00 ik ga nog maar eens een keer met mezelf in debat of ik ga slapen of niet
822609736990392322	MeterkastAlmere	Tijd: 02:00:11 Afgenomen: 0.386 Opgewekt: 0 Geleverd: 0 Verbruik: 0.39	Tijd : 02:00:11 Afgenomen : 0.386 Opgewekt : 0 Geleverd : 0 Verbruik : 0.39
822609741427933185	TyksaBorisT	Shoutout naar @paardenkut want voorhoofden 💪🙃	Shoutout naar @paardenkut want voorhoofden 💪🙃
822609742048751616	WeerNijbroek	Weerrapport van 02:00: Temp.(°C): -2→ Rel. vochtigheid (%): 92→ Luchtdruk (Hpa): 1.032,0→ Wind (km/h): 0→ uit het NE. Regen (mm): 0,0	Weerrapport van 02:00: Temp .(°C): -2→ Rel . vochtigheid (%): 92→ Luchtdruk ( Hpa ): 1.032,0→ Wind ( km /h): 0→ uit het NE . Regen ( mm ): 0,0
822609743428616192	detijdNL	En weer een uur voorbij! Het is nu: January 21, 2017 at 02:00AM	En weer een uur voorbij ! Het is nu : January 21, 2017 at 02:00 AM
822609744535896064	Spuitlul123	RT @geilelarissa8: Welk geil schatje is wakker? Dm mij😘	RT @geilelarissa8 : Welk geil schatje is wakker ? Dm mij 😘
822609745269977090	sophia_anthoni	Drone beelden zijn echt mooi	Drone beelden zijn echt mooi
822609745597046789	itsDelaneypeeps	RT @Rottiersmargot: Ik wil echt weten wat er allemaal om gaat in uw hoofd	RT @Rottiersmargot : Ik wil echt weten wat er allemaal om gaat in uw hoofd
822609745337061379	denkbaarwet	en hierna vergelijken waarom ik in afzondering moet leven en anderen tm alles zijn en alles hebben . https://t.co/sPWMeswRFR	en hierna vergelijken waarom ik in afzondering moet leven en anderen tm alles zijn en alles hebben . https://t.co/sPWMeswRFR
822609748134596608	Naya_Bns	@benjamintarnaud Ja, bewegingsstelsel en volgend semester inwendige organen. Maat ik snap ni hoe gij alles ineen overleefd hebt 👏🏻	@benjamintarnaud Ja , bewegingsstelsel en volgend semester inwendige organen . Maat ik snap ni hoe gij alles ineen overleefd hebt 👏🏻
822609753448861696	WeerstatElburg	Weerupdate van: zaterdag 21-01-2017 om 02:00 uur: Temp. 0,3°C , Luchtvochtigheid: 84% , Luchtdruk: 1033,3 hPa , Neerslag totaal: 0,0 mm.	Weerupdate van : zaterdag 21-01-2017 om 02:00 uur : Temp . 0,3°C , Luchtvochtigheid : 84% , Luchtdruk : 1033,3 hPa , Neerslag totaal : 0,0 mm .
822609756875620353	bieralte	ich h i j seit lange drunk & niemand liebt micg	ich h i j seit lange drunk & niemand liebt micg
822609757919907841	eetschrijver	@tjarko @suusj Dank, lieve mensen! Geweldig!	@tjarko @suusj Dank , lieve mensen ! Geweldig !
822609760738484225	ZonaanZee	Helder; 0.3°C; 0% kans op neerslag; wind: 1.6km/h ONO #weer #dekust https://t.co/IDbedytNm4	Helder ; 0.3°C; 0% kans op neerslag ; wind : 1.6 km /h ONO #weer #dekust https://t.co/IDbedytNm4
822609761992642560	joffrey25	Het devies van Rutte cs: vooral niet luisteren naar de burgers maar je oor laten hangen naar de EU-elite. Die verde… https://t.co/oJuKKe2Xnu	Het devies van Rutte cs : vooral niet luisteren naar de burgers maar je oor laten hangen naar de EU-elite . Die verde … https://t.co/oJuKKe2Xnu
822609766774145027	PrimalLugia	Ik vind een @YouTube-video van @pokesoup leuk: https://t.co/e5dObMgYpF 4 Pokemon EX/GX Collection Box Battle! 16 Booster Pack Opening	Ik vind een @YouTube - video van @pokesoup leuk : https://t.co/e5dObMgYpF 4 Pokemon EX / GX Collection Box Battle ! 16 Booster Pack Opening
822609771475980290	youtubeselectie	Deze kat heeft wel een bijzondere manier van mensen begroeten: https://t.co/Exensvsvap	Deze kat heeft wel een bijzondere manier van mensen begroeten : https://t.co/Exensvsvap
822609776039313409	opennViral	#vanharte ☆Jasmijn☆ @jasmijnitsme: ##Internationaleknuffeldag en ##jarig. Wat wil een mens… https://t.co/g5QtVTu8eB	#vanharte ☆ Jasmijn ☆ @jasmijnitsme : # #Internationaleknuffeldag en # #jarig . Wat wil een mens … https://t.co/g5QtVTu8eB
822609775984787460	CallMyNameElise	Ben nog steeds ID aan t kijken 😂	Ben nog steeds ID aan t kijken 😂
822609777817690113	__Janinex	De film 'Renesse de film' kijken🎬	De film ' Renesse de film ' kijken 🎬
822609784604164101	nieuws_van_nu	#Trump aangekomen in het Witte Huis als 45e president van de VS: meteen eerste decreet tegen Obamacare ondertekend https://t.co/bRchhSjT7Y…	#Trump aangekomen in het Witte Huis als 45e president van de VS : meteen eerste decreet tegen Obamacare ondertekend https://t.co/bRchhSjT7Y …
822609785740820481	miki_oberlin	BYE ZIN ZIN	BYE ZIN ZIN
822609787649138690	androidics_nl	Niantic Werkt Aan Grote Update Voor Pokémon Go https://t.co/ETRIV8OTK3	Niantic Werkt Aan Grote Update Voor Pokémon Go https://t.co/ETRIV8OTK3
822609790933356544	brnotcom	'OV bijna nergens duurder dan in Amsterdam' | Amsterdam | AD.nl. Het openbaar v...https://t.co/EPqNtvzw6O	' OV bijna nergens duurder dan in Amsterdam ' | Amsterdam | AD . nl . Het openbaar v... https://t.co/EPqNtvzw6O
822609790652321792	HorizonBssy	@Telenet mijn internet werkt al 20min niet meer.. fix da is ik betaal daar wel voor e da da zou werken -__-	@Telenet mijn internet werkt al 20 min niet meer .. fix da is ik betaal daar wel voor e da da zou werken -__-
822609791595974658	MeteoAppelscha	02:00u Droog|Temp:1.8C|Windstil|Kracht:0 bft 0.9 Km/u uit O|Luchtdruk:1033.8 hPa|Luchtv:95%|Neerslag: 0.0mm	02:00u Droog | Temp :1.8C| Windstil | Kracht :0 bft 0.9 Km /u uit O| Luchtdruk :1033.8 hPa | Luchtv :95%| Neerslag : 0.0 mm
